COORD_X,COORD_Y,TRAM,Rang,LATITUDE,LONGITUDE
431383.111,4581220.789,T00341S,40-50 µg/m³,41.37958469845567,2.1793961373368917
431399.325,4581254.82,T00342T,30-40 µg/m³,41.37989258860791,2.1795861727304273
431425.297,4581300.528,T00343U,30-40 µg/m³,41.38030648159945,2.1798915761848687
431453.644,4581351.776,T00344V,30-40 µg/m³,41.38077047334162,2.180224757671815
431481.349,4581399.242,T00345W,40-50 µg/m³,41.38120034604607,2.1805506942318
431424.567,4581260.463,T00346X,30-40 µg/m³,41.37994556523021,2.1798873803503698
431469.509,4581230.345,T00347Y,40-50 µg/m³,41.37967812990068,2.1804282071888945
431526.022,4581509.349,T00348Z,40-50 µg/m³,41.38219585191227,2.1810724670123878
431474.846,4581561.353,T00349A,40-50 µg/m³,41.38265988001539,2.1804545970030333
431561.945,4581517.72,T00350T,40-50 µg/m³,41.382274303697145,2.1815011074373807
431582.718,4581556.373,T00351U,30-40 µg/m³,41.38262420715078,2.181745157785472
431600.618,4581583.666,T00352V,30-40 µg/m³,41.38287154951976,2.1819561358322512
431564.491,4581571.569,T00354X,30-40 µg/m³,41.38275952301516,2.181525472180291
431581.84,4581591.515,T00355Y,30-40 µg/m³,41.382940646565864,2.181730690166737
431593.857,4581605.358,T00356Z,30-40 µg/m³,41.38306634841179,2.1818728345506986
431581.715,4581575.275,T00357A,30-40 µg/m³,41.38279436683949,2.181731029044249
431565.494,4581552.667,T00359C,30-40 µg/m³,41.38258936335555,2.1815396014479953
431598.949,4581535.126,T00360V,30-40 µg/m³,41.38243422150491,2.1819416562196907
431599.483,4581491.921,T00362X,30-40 µg/m³,41.3820451316003,2.1819529190841345
431604.623,4581604.544,T00364Z,30-40 µg/m³,41.38305993226832,2.18200167357919
431621.332,4581590.483,T00365A,30-40 µg/m³,41.382934709111126,2.1822030779127717
431641.775,4581577.201,T00366B,30-40 µg/m³,41.38281681909904,2.1824490471334688
431501.288,4581504.142,T00368D,40-50 µg/m³,41.382146848487636,2.1807772736607847
431424.901,4581580.813,T00370X,30-40 µg/m³,41.382830895130795,2.1798551224359524
431430.307,4581543.808,T00371Y,30-40 µg/m³,41.38249806244689,2.179923958346642
431455.285,4581518.633,T00372Z,30-40 µg/m³,41.38227344683733,2.1802255072863677
431476.32,4581498.427,T00373A,30-40 µg/m³,41.38209324896784,2.180479339921604
431448.371,4581461.919,T00374B,30-40 µg/m³,41.38176205089515,2.1801492419763435
431483.332,4581433.603,T00375C,40-50 µg/m³,41.38150999473833,2.1805705225168674
431518.521,4581415.177,T00376D,40-50 µg/m³,41.38134703285081,2.1809934086615623
431445.761,4581503.691,T00377E,30-40 µg/m³,41.38213805703156,2.180113304699064
431425.085,4581476.082,T00378F,30-40 µg/m³,41.381887628614635,2.1798691750970263
431428.828,4581488.343,T00379G,30-40 µg/m³,41.38199837896663,2.1799125481474566
431438.796,4581521.829,T00380Z,30-40 µg/m³,41.38230082732345,2.180027961489023
431424.623,4581506.828,T00381A,30-40 µg/m³,41.38216450969199,2.179860170839236
431413.24,4581353.717,T00382B,30-40 µg/m³,41.38078451218223,2.1797413767368963
431430.371,4581378.92,T00383C,30-40 µg/m³,41.38101296860471,2.1799433818522145
431443.62,4581402.04,T00384D,30-40 µg/m³,41.3812223329179,2.180099201751941
431459.543,4581429.515,T00385E,30-40 µg/m³,41.38147114907215,2.180286506759835
431400.554,4581419.282,T00386F,30-40 µg/m³,41.38137395598904,2.179582252234457
